# NG15-like pulsar summary for referee-response studies
# source: NANOGrav 15-yr data release (discovery-format pulsar files; real TOAs/errors/residuals;
#   pdist = NANOGrav CW-search distance prior [mean, sigma] in kpc from the pulsar metadata)
# wrms_s = weighted rms of post-fit residuals about weighted mean ('total rms' noise)
# n_epochs = TOAs clustered within 0.5 d;  times in seconds;  angles in radians
name,pos_x,pos_y,pos_z,ra,dec,pdist_mean,pdist_sigma,t_first,t_last,T_yr,n_toas,n_epochs,wrms_s
J1713+0747,-0.1982651645,-0.9707222113,0.1356072011,4.510915035,0.1360262991,1.05,0.06,4613203479,5103735084,15.54400857,59389,833,2.356205231e-07
J1719-1438,-0.1714735766,-0.9522453849,-0.2526371697,4.534225442,-0.2554048741,1,0.2,4983798238,5092450887,3.442994672,6356,73,9.721188019e-06
J1730-2304,-0.1186445207,-0.9123078265,-0.3919412041,4.583066006,-0.4027406735,0.51,0.1,4983800603,5092451947,3.442953326,4870,74,2.113340635e-06
J1738+0333,-0.0917616307,-0.9938507243,0.06197209882,4.620320618,0.06201183526,1,0.2,4763732760,5102445185,10.73314905,8790,104,1.237714695e-06
J1741+1351,-0.07820488715,-0.9677197256,0.2395882474,4.631750649,0.241941724,1,0.2,4755632862,5103218927,11.01433776,5582,113,5.377976628e-07
J1744-1134,-0.06624579777,-0.9773963706,-0.2007680978,4.644714659,-0.2021419201,0.42,0.02,4597873785,5092453515,15.67228592,17745,316,6.15500101e-07
J1745+1017,-0.06193343485,-0.9819404039,0.1787660281,4.64939992,0.1797321334,1,0.2,4958547715,5102015398,4.546216532,3017,49,1.046680117e-05
J1747-4036,-0.04035017266,-0.7580251162,-0.6509760263,4.659208518,-0.7088694996,1,0.2,4836373828,5092631752,8.120323593,11055,183,5.804229641e-06
J1751-2857,-0.03227137808,-0.8743377094,-0.4842438725,4.675496216,-0.505498749,1,0.2,4983802373,5092805182,3.454090563,2025,64,5.517200258e-06
J1802-2124,0.008486012048,-0.9310105493,-0.3648936073,4.721503568,-0.3735185287,1,0.2,4983803810,5092894893,3.456887832,6796,69,5.676646735e-06
J1811-2405,0.04511656715,-0.9118008638,-0.4081466406,4.761829382,-0.4204229862,1,0.2,4983805926,5092896235,3.456863283,5266,76,2.090178761e-06
J1832-0836,0.1395670317,-0.9788162056,-0.1497994638,4.854021851,-0.1503654449,1,0.2,4869028309,5092899711,7.094056633,7739,172,1.815113687e-06
J1843-1113,0.1858463781,-0.9631020634,-0.1946677664,4.903012447,-0.1959187253,1,0.2,4983807730,5092897913,3.456859275,4595,78,1.640570696e-06
J1853+1303,0.2272202542,-0.9472543674,0.2260091138,4.947813383,0.2279788299,1,0.2,4815175592,5102018394,9.089499894,4570,98,1.294207758e-06
J1903+0327,0.2713516357,-0.9605913851,0.06027006398,4.987699548,0.06030661206,1,0.2,4763739749,5102451241,10.73311949,6856,119,5.518947949e-06
J1909-3744,0.2371159476,-0.754439397,-0.6120434818,5.016907612,-0.6586420054,1.26,0.03,4604430237,5093332658,15.49238283,35037,559,3.568118803e-07
J1910+1256,0.2937246341,-0.9292889525,0.2239372283,5.018527102,0.2258524336,1.95,0.39,4741856599,5102448317,11.42646202,6486,114,1.279260905e-06
J1911+1347,0.2997839455,-0.9237364622,0.23841253,5.026199396,0.2407309167,1,0.2,4881441500,5102023932,6.989835469,3786,69,4.901624364e-07
J1918-0642,0.3347886092,-0.935021515,-0.1168390074,5.056221154,-0.1171064889,1.4,0.28,4604434218,5092901347,15.47858927,18875,316,1.934876188e-06
J1923+2515,0.3217934605,-0.8451842709,0.4267464317,5.076180393,0.4408921081,1,0.2,4820350999,5103225629,8.963756104,3974,90,1.916932023e-06
J1944+0907,0.4334278999,-0.8871304891,0.1585551984,5.166853176,0.1592271681,1,0.2,4709283252,5102454104,12.45883249,5328,104,1.937287333e-06
J1946+3417,0.3700090829,-0.7387396606,0.5633444705,5.176728613,0.5984281474,1,0.2,4922283410,5103230408,5.733864352,4743,72,2.475061881e-06
J2010-1323,0.5254113866,-0.818684454,-0.2317296695,5.282960527,-0.2338553755,1,0.2,4760198901,5092634917,10.53426167,17077,241,2.183636961e-06
J2017+0603,0.5610251626,-0.821058317,0.1054229907,5.311815433,0.1056192525,1,0.2,4837502907,5100218546,8.324956242,3512,92,7.473648627e-07
J2033+1734,0.5916669683,-0.7474454294,0.3020853004,5.381978032,0.3068793965,1,0.2,4882481638,5102457062,6.970600544,3847,68,3.533608993e-06
J2043+1711,0.6246946204,-0.7227715175,0.2955638084,5.425129105,0.3000456405,1,0.2,4817687051,5103320203,9.051168408,7397,228,5.402902013e-07
J2124-3358,0.6461007636,-0.5198003203,-0.5588930401,5.605694964,-0.5930502892,0.3,0.07,4983643857,5092904670,3.462266238,4982,74,2.821572207e-06
J2145-0750,0.8257148018,-0.5473529873,-0.1363809858,5.697806167,-0.13680734,0.57,0.11,4602285129,5092636472,15.5382964,18675,281,1.720126916e-06
J2214+3000,0.7760417354,-0.384186071,0.500160262,5.823498693,0.5237838401,1,0.2,4837505334,5103240012,8.420623799,7406,96,1.560419285e-06
J2229+2643,0.8249039066,-0.3423273098,0.4498283649,5.889823224,0.4665731539,1,0.2,4881448450,5103242770,7.028237878,3711,76,1.655343581e-06
J2234+0611,0.9256009548,-0.3628106604,0.1078484918,5.909617781,0.1080586634,1,0.2,4896184550,5102462908,6.536566734,3566,66,4.63611067e-07
J2234+0944,0.9182269257,-0.3580898376,0.1692069178,5.911346876,0.1700249281,1,0.2,4878004484,5102035120,7.099102469,7535,72,1.000561478e-06
J2302+4442,0.688689886,-0.1755994636,0.7034707309,6.033528764,0.7802691427,1,0.2,4835985958,5092663539,8.133621713,10211,194,5.316795195e-06
J2317+1439,0.9505931021,-0.1798143604,0.2530603685,6.096234046,0.2558422862,1.89,0.38,4609948797,5103676653,15.64529165,13927,303,7.723731758e-07
J2322+2057,0.9213296891,-0.1526405722,0.3575646231,6.119002414,0.3656588057,1,0.2,4931345786,5103246168,5.44719439,3088,59,1.615416405e-06
